"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"209464";"Nota Fiscal";"2009";"6";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"00.012.211/0003-06";"Drive Car transporte e combustíveis LTDA";"101067";"2009-06-19";;"130,00"
"209467";"Nota Fiscal";"2009";"6";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"00.012.211/0003-06";"Drive car transporte e Combustíveis Ltda";"101183";"2009-06-24";;"210,00"
"209472";"Nota Fiscal";"2009";"6";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04.021.583/0001-98";"Duvan Bar e Restaurante Ltda";"10937";"2009-06-21";;"133,76"
"209466";"Nota Fiscal";"2009";"6";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.989.654/0003-87";"Melhor Posto de Combustíveis LTDA";"37782";"2009-06-24";;"130,00"
"209473";"Nota Fiscal";"2009";"7";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"00.000.042/0005-56";"Auto posto Gasol Ltda";"119010";"2009-07-25";;"167,73"
"251383";"Nota Fiscal";"2009";"8";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02.142.987/0001-04";"CA Guimarães Baião Consultores Associados S/S Ltda";"223";"2010-03-30";;"10500,00"
"209474";"Nota Fiscal";"2009";"8";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"01.666.674/0001-92";"CAC Consultoria Política";"337";"2009-09-02";;"3000,00"
"251384";"Nota Fiscal";"2009";"9";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02.142.987/0001-04";"CA Guimarães Baião Consultores Associados S/S Ltda";"224";"2010-03-30";;"12000,00"
"209475";"Nota Fiscal";"2009";"9";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"01.666.674/0001-92";"CAC Consultoria Política";"338";"2009-09-28";;"3000,00"
"251385";"Nota Fiscal";"2009";"10";"ADELMIR SANTANA";"Divulgação da atividade parlamentar";"09.320.613/0001-80";"KRV Vídeos e Marketing Ltda EPP";"255";"2010-03-30";;"14850,00"
